Species,Flow,Week,Percent.Survival
M.capitata,0 tph,8,0.92
M.capitata,4 tph,8,0.75
M.capitata,30 tph,8,1
M.capitata,105 tph,8,0.75
M.capitata,210 tph,8,0.92
P.acuta,0 tph,8,1
P.acuta,4 tph,8,1
P.acuta,30 tph,8,1
P.acuta,105 tph,8,1
P.acuta,210 tph,8,1
P.meandrina,0 tph,8,1
P.meandrina,4 tph,8,1
P.meandrina,30 tph,8,1
P.meandrina,105 tph,8,0.92
P.meandrina,210 tph,8,0.83
M.capitata,0 tph,15,0.75
M.capitata,4 tph,15,0.42
M.capitata,30 tph,15,0.83
M.capitata,105 tph,15,0.42
M.capitata,210 tph,15,0.67
P.acuta,0 tph,15,1
P.acuta,4 tph,15,0.75
P.acuta,30 tph,15,1
P.acuta,105 tph,15,1
P.acuta,210 tph,15,1
P.meandrina,0 tph,15,0.5
P.meandrina,4 tph,15,0.5
P.meandrina,30 tph,15,0.25
P.meandrina,105 tph,15,0.42
P.meandrina,210 tph,15,0.25
M.capitata,0 tph,23,0.67
M.capitata,4 tph,23,0.25
M.capitata,30 tph,23,0.75
M.capitata,105 tph,23,0.42
M.capitata,210 tph,23,0.42
P.acuta,0 tph,23,0.92
P.acuta,4 tph,23,0.58
P.acuta,30 tph,23,1
P.acuta,105 tph,23,0.83
P.acuta,210 tph,23,0.83
P.meandrina,0 tph,23,0.08
P.meandrina,4 tph,23,0.17
P.meandrina,30 tph,23,0
P.meandrina,105 tph,23,0
P.meandrina,210 tph,23,0.08